peak_name,height_metres,climbed,first_ascent_year,first_ascent_country,first_ascent_expedition_id
Ama Dablam,6814,TRUE,1961,"New Zealand, USA, UK",AMAD61101
Amphu Gyabjen,5630,TRUE,1953,UK,AMPG53101
Annapurna I,8091,TRUE,1950,France,ANN150101
Annapurna II,7937,TRUE,1960,"UK, Nepal",ANN260101
Annapurna III,7555,TRUE,1961,India,ANN361101
Annapurna IV,7525,TRUE,1955,W Germany,ANN455101
Annapurna I East,8026,TRUE,1974,Spain,ANNE74101
Annapurna I Middle,8051,TRUE,1980,W Germany,ANNM80301
Annapurna South,7219,TRUE,1964,"Japan, Nepal",ANNS64301
Api Main,7132,TRUE,1960,"Japan, Nepal",APIM60101
Api West,7076,FALSE,NA,NA,NA
Baruntse,7152,TRUE,1954,New Zealand,BARU54101
Baudha,6672,TRUE,1970,Japan,BAUD70101
Bhemdang Ri,6150,TRUE,1964,"Japan, Nepal",BHEM64101
Bhrikuti,6476,TRUE,1982,"Japan, Nepal",BHRI82101
Bobaye,6808,TRUE,1996,Slovenia,BOBA96301
Chamlang,7321,TRUE,1962,"Japan, Nepal",CHAM62101
Changla,6563,TRUE,2010,Japan,CHAN10301
Chamar North,7165,TRUE,1953,"New Zealand, Nepal",CHMN53101
Cheo Himal,6820,TRUE,1991,"Japan, Nepal",CHEO91301
Cho Oyu,8188,TRUE,1954,"Austria, Nepal",CHOY54301
Chobuje,6686,TRUE,1972,W Germany,CHOB72101
Cholatse,6423,TRUE,1982,"USA, UK",CHOL82101
Cho Polu,6700,TRUE,1984,Spain,CHOP84301
Chulu Central,6584,TRUE,1955,W Germany,CHUL55201
Chukyima Go,6258,TRUE,2014,Slovenia,CHUG14301
Churen Himal Central,7385,TRUE,1970,Japan,CHUR70301
Chulu West,6419,TRUE,1952,Japan,CHUW52301
Taple Shikhar,6447,TRUE,1998,"Japan, Nepal",TAPL98301
Changtse,7583,TRUE,1982,W Germany,CTSE82301
Dhaulagiri I,8167,TRUE,1960,"Switzerland, Austria, W Germany, Nepal",DHA160101
Dhaulagiri II,7751,TRUE,1971,"Austria, USA, Nepal",DHA271101
Dhaulagiri III,7715,TRUE,1973,W Germany,DHA373301
Dhaulagiri IV,7661,TRUE,1975,Japan,DHA475101
Dhaulagiri V,7618,TRUE,1975,"Japan, Nepal",DHA575101
Dhaulagiri VI,7268,TRUE,1970,Japan,DHA670101
Dhampus,6012,TRUE,1960,Austria,DHAM60101
Dogari,6536,FALSE,NA,NA,NA
Pemthang Karpo Ri,6865,TRUE,1955,"Switzerland, Nepal",PEMK55101
Dorje Lhakpa,6966,TRUE,1981,"Japan, Nepal",DORJ81301
Drangnag Ri,6757,TRUE,1995,"Norway, UK, Nepal",DRAN95101
Drohmo,6881,FALSE,NA,NA,NA
Everest,8850,TRUE,1953,"New Zealand, India",EVER53101
Fang,7647,TRUE,1980,"Austria, Nepal",FANG80101
Firnkopf,6730,FALSE,NA,NA,NA
Firnkopf West,6745,TRUE,1987,"Austria, W Germany, Nepal",FIRW87301
Gama Peak,7187,TRUE,1970,Japan,GAMA70301
Ganesh I,7422,TRUE,1955,"Switzerland, France",GAN155301
Ganesh III,7043,TRUE,1979,"Japan, Nepal",GAN379301
Ganesh II,7118,TRUE,1981,"W Germany, Nepal",GAN281302
Ganesh IV,7104,TRUE,1978,"Japan, Nepal",GAN478301
Ganesh V,6770,TRUE,1980,"Japan, Nepal",GAN580101
Ganesh VI,6908,TRUE,2000,Japan,GAN600101
Ganchenpo,6378,TRUE,1971,USA,GANC71302
Gandharva Chuli,6248,TRUE,2013,Romania,GAND13101
Gangapurna,7455,TRUE,1965,"W Germany, Nepal",GANG65101
Gaurishankar,7135,TRUE,1979,"US, Nepal",GAUR79101
Ghustang North,6529,TRUE,1962,"UK, Nepal",GHUN62301
Ghustang South,6465,TRUE,2019,"France, Canada, Switzerland, Nepal",GHUS18301
Matathumba,5767,TRUE,1961,"UK, Nepal",MATA61101
Ghyuthumba Main,5806,TRUE,1953,"Austria, Nepal, India",GHYM53301
Gimmigela Chuli East,7007,TRUE,1993,"Japan, Nepal",GIME93301
Gimmigela Chuli,7350,TRUE,1994,"Japan, Nepal",GIMM94301
Glacier Dome,7168,TRUE,1964,"Japan, Nepal",GLAC64301
Gurja Himal,7193,TRUE,1969,"Japan, Nepal",GURJ69301
Gurkarpo Ri,6889,TRUE,2007,France,GURK07301
Gyachung Kang,7861,TRUE,1964,"Japan, Nepal",GYAC64101
Gyajikang,7074,TRUE,1994,"Japan, Nepal",GYAJ94301
Leonpo Gang East,6733,TRUE,1955,"UK, Nepal",LEOE55101
Himalchuli East,7893,TRUE,1960,Japan,HIME60101
Himlung Himal,7126,TRUE,1992,"Japan, Nepal",HIML92301
Himalchuli North,7331,TRUE,1985,"S Korea, Nepal",HIMN85302
Rani Peak,6693,TRUE,1970,"Netherlands, Nepal",RANI70101
Himalchuli West,7540,TRUE,1978,Japan,HIMW78101
Hiunchuli,6434,TRUE,1971,USA,HIUP71301
Hongku Chuli,6833,FALSE,NA,NA,NA
Hongde,6556,TRUE,1962,"Japan, Nepal",HONG62101
Imjatse,6165,TRUE,1956,"Switzerland, Nepal",IMJA56101
Jagdula,5761,TRUE,2013,France,JAGD13101
Jannu,7711,TRUE,1962,"France, Nepal",JANU62101
Jethi Bahurani,6850,TRUE,1978,Japan,JETH78101
Jongsang,7462,TRUE,1930,"Germany, Austria",JONG30101
Junction Peak,7133,FALSE,NA,NA,NA
Kabru Dome,6600,TRUE,1982,India,KABD82301
Kabru North,7338,TRUE,1935,UK,KABN35301
Kagmara I,5978,TRUE,1962,"UK, Nepal",KAG162101
Kande Hiunchuli North  I,6521,FALSE,NA,NA,NA
Kande Hiunchuli North  II,6471,TRUE,1980,Switzerland,KAN280101
Kangbachen,7902,TRUE,1974,Poland,KANB74101
Kangchenjunga Central,8473,TRUE,1978,Poland,KANC78102
Kande Hiunchuli,6627,TRUE,1972,Japan,KAND72301
Kangchenjunga,8586,TRUE,1955,UK,KANG55101
Kangchenjunga South,8476,TRUE,1978,Poland,KANS78101
Karyolung,6530,TRUE,1982,"Japan, Nepal",KARY82301
Kangchung Nup,6043,TRUE,1953,"UK, New Zealand",KCHN53101
Naya Kanga,5863,TRUE,NA,NA,NA
Kang Guru,6981,TRUE,1955,W Germany,KGUR55201
Khatang,6790,TRUE,1982,"Japan, Nepal",KHAT82301
Khongma Tse,5798,TRUE,NA,NA,NA
Kanjeralwa,6612,TRUE,1973,"Japan, Nepal",KJER73101
Kanjiroba North,6858,FALSE,NA,NA,NA
Kanjiroba South,6883,TRUE,1970,Japan,KJRS70301
Kotang,6148,TRUE,1982,Inida,KOTA82301
Kangtega,6783,TRUE,1963,"New Zealand, USA",KTEG63101
Kangtsune,6444,FALSE,NA,NA,NA
Kusum Kanguru,6370,TRUE,1981,New Zealand,KUSU81302
